#Parameters = {Rmesh=1; F=300000000; I=1; L_bunch=3.3333333333333; L_cutoff=3.3333333333333; L_offset=1.6666666666667; Ltar=10; Q=3.3333333333333e-009; Rcath=0.5; Rtar=10; RxRz=0.01; T=3.3333333333333e-009; Wo=30000; sigma=33.333333333333}
#"Z / cm"	"e-field (t=0..end(0.1)) (pic)_Z (Z)"
#----------------------------------------------
2.0019920318725	-102077.37500000
2.0119521912351	-101633.17187500
2.0219123505976	-100723.11718750
2.0318725099602	-99444.367187500
2.0418326693227	-98165.625000000
2.0517928286853	-96886.882812500
2.0617529880478	-95608.132812500
2.0717131474104	-94329.390625000
2.0816733067729	-93050.640625000
2.0916334661355	-91771.898437500
2.1015936254980	-90493.156250000
2.1115537848606	-89214.437500000
2.1215139442231	-87935.695312500
2.1314741035857	-86656.953125000
2.1414342629482	-85378.203125000
2.1513944223108	-84099.460937500
2.1613545816733	-82820.718750000
2.1713147410359	-81541.968750000
2.1812749003984	-80263.226562500
2.1912350597610	-78984.484375000
2.2011952191235	-77705.734375000
2.2111553784861	-76426.992187500
2.2211155378486	-76024.140625000
2.2310756972112	-76182.320312500
2.2410358565737	-76340.500000000
2.2509960159363	-76498.679687500
2.2609561752988	-76656.859375000
2.2709163346614	-76815.039062500
2.2808764940239	-76973.218750000
2.2908366533865	-77131.398437500
2.3007968127490	-77289.578125000
2.3107569721116	-77447.757812500
2.3207171314741	-77605.937500000
2.3306772908367	-77764.117187500
2.3406374501992	-77922.304687500
2.3505976095618	-78080.484375000
2.3605577689243	-78238.664062500
2.3705179282869	-78396.843750000
2.3804780876494	-78555.023437500
2.3904382470120	-78713.203125000
2.4003984063745	-78871.382812500
2.4103585657371	-79029.562500000
2.4203187250996	-78093.656250000
2.4302788844622	-76596.437500000
2.4402390438247	-75099.171875000
2.4501992031873	-73601.914062500
2.4601593625498	-72104.656250000
2.4701195219124	-70607.398437500
2.4800796812749	-69110.140625000
2.4900398406374	-67612.882812500
2.5000000000000	-66115.625000000
