#Parameters = {kz=-1; eps0=8.854e-012; rho=0.058284280917442; V=5.719094892935e-008; Q=3.3333333333333e-009; Lx=10; Ly=10; Lz=50; Rx=1.6; Ry=0.53333333333333; Rz=16; iy=0.1}
#"Z / mm"	"E-Field (Es)_Z (Z)_1"
#-------------------------------
3.0400000000000	131449.10937500
3.0666666666667	132660.51562500
3.0933333333333	133871.89062500
3.1200000000000	135083.28125000
3.1466666666667	136294.68750000
3.1733333333333	137506.07812500
3.2000000000000	138717.46875000
3.2266666666667	139928.85937500
3.2533333333333	141136.90625000
3.2800000000000	142321.57812500
3.3066666666667	143506.25000000
3.3333333333333	144690.93750000
3.3600000000000	145875.60937500
3.3866666666667	147060.31250000
3.4133333333333	148244.98437500
3.4400000000000	149429.67187500
3.4666666666667	150614.34375000
3.4933333333333	151799.03125000
3.5200000000000	152958.65625000
3.5466666666667	154109.95312500
3.5733333333333	155261.25000000
3.6000000000000	156412.53125000
3.6266666666667	157563.84375000
3.6533333333333	158715.12500000
3.6800000000000	159866.42187500
3.7066666666667	161017.70312500
3.7333333333333	162169.00000000
3.7600000000000	163317.31250000
3.7866666666667	164460.59375000
3.8133333333333	165603.89062500
3.8400000000000	166747.17187500
3.8666666666667	167890.46875000
3.8933333333333	169033.76562500
3.9200000000000	170177.04687500
3.9466666666667	171320.34375000
3.9733333333333	172463.64062500
4.0000000000000	173606.92187500
4.0266666666667	174760.25000000
4.0533333333333	175913.56250000
4.0800000000000	177066.89062500
4.1066666666667	178220.21875000
4.1333333333333	179373.53125000
4.1600000000000	180526.85937500
4.1866666666667	181680.18750000
4.2133333333333	182833.50000000
4.2400000000000	183986.82812500
4.2666666666667	185151.68750000
4.2933333333333	186323.42187500
4.3200000000000	187495.15625000
4.3466666666667	188666.89062500
4.3733333333333	189838.62500000
4.4000000000000	191010.35937500
4.4266666666667	192182.09375000
4.4533333333333	193353.84375000
4.4800000000000	194525.57812500
4.5066666666667	195694.90625000
4.5333333333333	196857.07812500
4.5600000000000	198019.23437500
4.5866666666667	199181.40625000
4.6133333333333	200343.54687500
4.6400000000000	201505.71875000
4.6666666666667	202667.87500000
4.6933333333333	203830.04687500
4.7200000000000	204992.20312500
4.7466666666667	206154.37500000
4.7733333333333	207250.39062500
4.8000000000000	208336.92187500
4.8266666666667	209423.46875000
4.8533333333333	210510.00000000
4.8800000000000	211596.54687500
4.9066666666667	212683.10937500
4.9333333333333	213769.64062500
4.9600000000000	214856.18750000
4.9866666666667	215942.71875000
5.0133333333333	216961.28125000
5.0400000000000	217911.85937500
5.0666666666667	218862.45312500
5.0933333333333	219813.03125000
5.1200000000000	220763.60937500
5.1466666666667	221714.20312500
5.1733333333333	222664.76562500
5.2000000000000	223615.35937500
5.2266666666667	224565.93750000
5.2533333333333	225502.42187500
5.2800000000000	226340.06250000
5.3066666666667	227177.71875000
5.3333333333333	228015.35937500
5.3600000000000	228853.01562500
5.3866666666667	229690.67187500
5.4133333333333	230528.31250000
5.4400000000000	231365.96875000
5.4666666666667	232203.60937500
5.4933333333333	233041.26562500
5.5200000000000	233872.71875000
5.5466666666667	234702.09375000
5.5733333333333	235531.50000000
5.6000000000000	236360.87500000
5.6266666666667	237190.28125000
5.6533333333333	238019.65625000
5.6800000000000	238849.03125000
5.7066666666667	239678.43750000
5.7333333333333	240507.81250000
5.7600000000000	241362.40625000
