#Parameters = {kz=1; eps0=8.854e-012; rho=1.9428093639147; V=1.7157284678805e-009; Q=3.3333333333333e-009; Lx=10; Ly=10; Lz=50; Rx=1.6; Ry=1.6; Rz=0.16; iy=10}
#"Z / mm"	"E-Field (Es)_Z (Z)"
#-----------------------------
-44.856000000000	-96.591247558594
-44.848000000000	-96.730461120605
-44.840000000000	-96.869682312012
-44.832000000000	-97.008903503418
-44.824000000000	-97.148124694824
-44.816000000000	-97.287345886230
-44.808000000000	-97.426628112793
-44.800000000000	-97.565849304199
-44.792000000000	-97.705070495605
-44.784000000000	-97.844291687012
-44.776000000000	-97.983512878418
-44.768000000000	-98.122726440430
-44.760000000000	-98.262016296387
-44.752000000000	-98.401473999023
-44.744000000000	-98.550376892090
-44.736000000000	-98.699279785156
-44.728000000000	-98.848182678223
-44.720000000000	-98.997085571289
-44.712000000000	-99.145980834961
-44.704000000000	-99.294960021973
-44.696000000000	-99.443862915039
-44.688000000000	-99.592765808105
-44.680000000000	-99.741668701172
-44.672000000000	-99.890571594238
-44.664000000000	-100.03947448730
-44.656000000000	-100.18844604492
-44.648000000000	-100.33734893799
-44.640000000000	-100.48625183105
-44.632000000000	-100.63515472412
-44.624000000000	-100.78405761719
-44.616000000000	-100.93296051025
-44.608000000000	-101.08186340332
-44.600000000000	-101.23083496094
-44.592000000000	-101.37973785400
-44.584000000000	-101.52864074707
-44.576000000000	-101.67754364014
-44.568000000000	-101.82644653320
-44.560000000000	-101.97534942627
-44.552000000000	-102.12432098389
-44.544000000000	-102.27322387695
-44.536000000000	-102.42212677002
-44.528000000000	-102.57102966309
-44.520000000000	-102.71993255615
-44.512000000000	-102.86883544922
-44.504000000000	-103.01773834229
-44.496000000000	-103.17469024658
-44.488000000000	-103.33373260498
-44.480000000000	-103.49277496338
-44.472000000000	-103.65181732178
-44.464000000000	-103.81085968018
-44.456000000000	-103.96990203857
-44.448000000000	-104.12893676758
-44.440000000000	-104.28805541992
-44.432000000000	-104.44709777832
-44.424000000000	-104.60614013672
-44.416000000000	-104.76518249512
-44.408000000000	-104.92422485352
-44.400000000000	-105.08326721191
-44.392000000000	-105.24237823486
-44.384000000000	-105.40142059326
-44.376000000000	-105.56046295166
-44.368000000000	-105.71950531006
-44.360000000000	-105.87854766846
-44.352000000000	-106.03759002686
-44.344000000000	-106.19662475586
-44.336000000000	-106.35574340820
-44.328000000000	-106.51478576660
-44.320000000000	-106.67382812500
-44.312000000000	-106.83287048340
-44.304000000000	-106.99191284180
-44.296000000000	-107.15095520020
-44.288000000000	-107.31006622314
-44.280000000000	-107.46910858154
-44.272000000000	-107.62815093994
-44.264000000000	-107.78719329834
-44.256000000000	-107.94623565674
-44.248000000000	-108.11112213135
-44.240000000000	-108.28079223633
-44.232000000000	-108.45053863525
-44.224000000000	-108.62020874023
-44.216000000000	-108.78987884521
-44.208000000000	-108.95954132080
-44.200000000000	-109.12921142578
-44.192000000000	-109.29888153076
-44.184000000000	-109.46862792969
-44.176000000000	-109.63829803467
-44.168000000000	-109.80796051025
-44.160000000000	-109.97763061523
-44.152000000000	-110.14730072021
-44.144000000000	-110.31696319580
-44.136000000000	-110.48663330078
-44.128000000000	-110.65637969971
-44.120000000000	-110.82604980469
-44.112000000000	-110.99571990967
-44.104000000000	-111.16538238525
-44.096000000000	-111.33505249023
-44.088000000000	-111.50472259521
-44.080000000000	-111.67438507080
-44.072000000000	-111.84413909912
-44.064000000000	-112.01380157471
-44.056000000000	-112.18347167969
-44.048000000000	-112.35314178467
-44.040000000000	-112.52280426025
-44.032000000000	-112.69247436523
-44.024000000000	-112.86222076416
-44.016000000000	-113.03189086914
-44.008000000000	-113.20156097412
-44.000000000000	-113.37471771240
-43.992000000000	-113.55553436279
-43.984000000000	-113.73635101318
-43.976000000000	-113.91716766357
-43.968000000000	-114.09806823730
-43.960000000000	-114.27888488770
-43.952000000000	-114.45970153809
-43.944000000000	-114.64051818848
-43.936000000000	-114.82133483887
-43.928000000000	-115.00215148926
-43.920000000000	-115.18305206299
-43.912000000000	-115.36386871338
-43.904000000000	-115.54468536377
-43.896000000000	-115.72550201416
-43.888000000000	-115.90631866455
-43.880000000000	-116.08713531494
-43.872000000000	-116.26795196533
-43.864000000000	-116.44885253906
-43.856000000000	-116.62966918945
-43.848000000000	-116.81048583984
-43.840000000000	-116.99130249023
-43.832000000000	-117.17211914063
-43.824000000000	-117.35293579102
-43.816000000000	-117.53375244141
-43.808000000000	-117.71465301514
-43.800000000000	-117.89546966553
-43.792000000000	-118.07628631592
-43.784000000000	-118.25710296631
-43.776000000000	-118.43791198730
-43.768000000000	-118.61872863770
-43.760000000000	-118.79963684082
-43.752000000000	-118.98134613037
-43.744000000000	-119.17386627197
-43.736000000000	-119.36638641357
-43.728000000000	-119.55890655518
-43.720000000000	-119.75142669678
-43.712000000000	-119.94394683838
-43.704000000000	-120.13655853271
-43.696000000000	-120.32907867432
-43.688000000000	-120.52159118652
-43.680000000000	-120.71411132813
-43.672000000000	-120.90663146973
-43.664000000000	-121.09915161133
-43.656000000000	-121.29176330566
-43.648000000000	-121.48428344727
-43.640000000000	-121.67680358887
-43.632000000000	-121.86932373047
-43.624000000000	-122.06184387207
-43.616000000000	-122.25435638428
-43.608000000000	-122.44687652588
-43.600000000000	-122.63948822021
-43.592000000000	-122.83200836182
-43.584000000000	-123.02452850342
-43.576000000000	-123.21704864502
-43.568000000000	-123.40956878662
-43.560000000000	-123.60208892822
-43.552000000000	-123.79469299316
-43.544000000000	-123.98721313477
-43.536000000000	-124.17973327637
-43.528000000000	-124.37225341797
-43.520000000000	-124.56477355957
-43.512000000000	-124.75729370117
-43.504000000000	-124.94981384277
-43.496000000000	-125.15274810791
-43.488000000000	-125.35756683350
-43.480000000000	-125.56238555908
-43.472000000000	-125.76720428467
-43.464000000000	-125.97201538086
-43.456000000000	-126.17683410645
-43.448000000000	-126.38165283203
-43.440000000000	-126.58656311035
-43.432000000000	-126.79138183594
-43.424000000000	-126.99620056152
-43.416000000000	-127.20101928711
-43.408000000000	-127.40583038330
-43.400000000000	-127.61064910889
-43.392000000000	-127.81556701660
-43.384000000000	-128.02038574219
-43.376000000000	-128.22520446777
