#Parameters = {kz=1; eps0=8.854e-012; rho=1.9428093639147; V=1.7157284678805e-009; Q=3.3333333333333e-009; Lx=10; Ly=10; Lz=50; Rx=1.6; Ry=1.6; Rz=0.16; iy=10}
#"Y / mm"	"E-Field (Es)_Y (Y)"
#-----------------------------
-5.6720000000000	-1007879.7500000
-5.6640000000000	-1010469.8125000
-5.6560000000000	-1013059.8750000
-5.6480000000000	-1015650.0625000
-5.6400000000000	-1018240.1250000
-5.6320000000000	-1020830.1875000
-5.6240000000000	-1023420.2500000
-5.6160000000000	-1026010.3750000
-5.6080000000000	-1028600.5625000
-5.6000000000000	-1031190.6250000
-5.5920000000000	-1033780.6875000
-5.5840000000000	-1036370.7500000
-5.5760000000000	-1039129.3125000
-5.5680000000000	-1042130.2500000
-5.5600000000000	-1045131.0000000
-5.5520000000000	-1048131.7500000
-5.5440000000000	-1051132.5000000
-5.5360000000000	-1054133.3750000
-5.5280000000000	-1057134.1250000
-5.5200000000000	-1060134.8750000
-5.5120000000000	-1063135.6250000
-5.5040000000000	-1066136.3750000
-5.4960000000000	-1069137.2500000
-5.4880000000000	-1072138.0000000
-5.4800000000000	-1075138.7500000
-5.4720000000000	-1078139.5000000
-5.4640000000000	-1081140.2500000
-5.4560000000000	-1084141.2500000
-5.4480000000000	-1087142.0000000
-5.4400000000000	-1090142.7500000
-5.4320000000000	-1093143.5000000
-5.4240000000000	-1096144.3750000
-5.4160000000000	-1099145.1250000
-5.4080000000000	-1102145.8750000
-5.4000000000000	-1105146.6250000
-5.3920000000000	-1108147.3750000
-5.3840000000000	-1111148.2500000
-5.3760000000000	-1114149.0000000
-5.3680000000000	-1117149.7500000
-5.3600000000000	-1120150.5000000
-5.3520000000000	-1123151.2500000
-5.3440000000000	-1126152.1250000
-5.3360000000000	-1129152.8750000
-5.3280000000000	-1132504.7500000
-5.3200000000000	-1135999.3750000
-5.3120000000000	-1139494.2500000
-5.3040000000000	-1142989.0000000
-5.2960000000000	-1146483.6250000
-5.2880000000000	-1149978.2500000
-5.2800000000000	-1153472.8750000
-5.2720000000000	-1156967.7500000
-5.2640000000000	-1160462.3750000
-5.2560000000000	-1163957.1250000
-5.2480000000000	-1167451.7500000
-5.2400000000000	-1170946.6250000
-5.2320000000000	-1174441.2500000
-5.2240000000000	-1177935.8750000
-5.2160000000000	-1181430.5000000
-5.2080000000000	-1184925.2500000
-5.2000000000000	-1188420.0000000
-5.1920000000000	-1191914.7500000
-5.1840000000000	-1195409.3750000
-5.1760000000000	-1198904.0000000
-5.1680000000000	-1202398.6250000
-5.1600000000000	-1205893.5000000
-5.1520000000000	-1209388.2500000
-5.1440000000000	-1212882.8750000
-5.1360000000000	-1216377.5000000
-5.1280000000000	-1219872.3750000
-5.1200000000000	-1223367.0000000
-5.1120000000000	-1226861.6250000
-5.1040000000000	-1230356.2500000
-5.0960000000000	-1233851.0000000
-5.0880000000000	-1237352.7500000
-5.0800000000000	-1241448.0000000
-5.0720000000000	-1245543.2500000
-5.0640000000000	-1249638.5000000
-5.0560000000000	-1253733.7500000
-5.0480000000000	-1257829.2500000
-5.0400000000000	-1261924.5000000
-5.0320000000000	-1266019.7500000
-5.0240000000000	-1270115.0000000
-5.0160000000000	-1274210.5000000
-5.0080000000000	-1278305.8750000
-5.0000000000000	-1282401.1250000
-4.9920000000000	-1286496.3750000
-4.9840000000000	-1290591.6250000
-4.9760000000000	-1294687.1250000
-4.9680000000000	-1298782.3750000
-4.9600000000000	-1302877.6250000
-4.9520000000000	-1306972.8750000
-4.9440000000000	-1311068.3750000
-4.9360000000000	-1315163.6250000
-4.9280000000000	-1319258.8750000
-4.9200000000000	-1323354.1250000
-4.9120000000000	-1327449.3750000
-4.9040000000000	-1331544.8750000
-4.8960000000000	-1335640.1250000
-4.8880000000000	-1339735.5000000
-4.8800000000000	-1343830.7500000
-4.8720000000000	-1347926.0000000
-4.8640000000000	-1352021.5000000
-4.8560000000000	-1356116.7500000
-4.8480000000000	-1360212.0000000
-4.8400000000000	-1364537.8750000
-4.8320000000000	-1369372.6250000
-4.8240000000000	-1374207.1250000
-4.8160000000000	-1379041.6250000
-4.8080000000000	-1383876.1250000
-4.8000000000000	-1388710.6250000
-4.7920000000000	-1393545.5000000
-4.7840000000000	-1398379.8750000
-4.7760000000000	-1403214.3750000
-4.7680000000000	-1408048.8750000
-4.7600000000000	-1412883.3750000
-4.7520000000000	-1417718.2500000
-4.7440000000000	-1422552.7500000
-4.7360000000000	-1427387.2500000
-4.7280000000000	-1432221.6250000
-4.7200000000000	-1437056.5000000
-4.7120000000000	-1441891.0000000
-4.7040000000000	-1446725.5000000
-4.6960000000000	-1451560.0000000
-4.6880000000000	-1456394.5000000
-4.6800000000000	-1461229.2500000
-4.6720000000000	-1466063.7500000
-4.6640000000000	-1470898.2500000
-4.6560000000000	-1475732.7500000
-4.6480000000000	-1480567.5000000
-4.6400000000000	-1485402.0000000
-4.6320000000000	-1490236.5000000
-4.6240000000000	-1495071.0000000
-4.6160000000000	-1499905.5000000
-4.6080000000000	-1504740.2500000
-4.6000000000000	-1509574.7500000
-4.5920000000000	-1514974.1250000
-4.5840000000000	-1520730.8750000
-4.5760000000000	-1526487.5000000
-4.5680000000000	-1532244.5000000
-4.5600000000000	-1538001.2500000
-4.5520000000000	-1543757.8750000
-4.5440000000000	-1549514.5000000
-4.5360000000000	-1555271.5000000
-4.5280000000000	-1561028.2500000
-4.5200000000000	-1566784.8750000
-4.5120000000000	-1572541.5000000
-4.5040000000000	-1578298.2500000
-4.4960000000000	-1584055.2500000
-4.4880000000000	-1589811.8750000
-4.4800000000000	-1595568.6250000
-4.4720000000000	-1601325.2500000
-4.4640000000000	-1607081.8750000
-4.4560000000000	-1612838.8750000
-4.4480000000000	-1618595.6250000
-4.4400000000000	-1624352.2500000
-4.4320000000000	-1630109.0000000
-4.4240000000000	-1635866.0000000
-4.4160000000000	-1641622.6250000
-4.4080000000000	-1647379.2500000
-4.4000000000000	-1653136.0000000
-4.3920000000000	-1658892.6250000
-4.3840000000000	-1664649.6250000
-4.3760000000000	-1670406.2500000
-4.3680000000000	-1676163.0000000
-4.3600000000000	-1681919.6250000
-4.3520000000000	-1687676.2500000
-4.3440000000000	-1694499.7500000
-4.3360000000000	-1701424.2500000
-4.3280000000000	-1708348.7500000
-4.3200000000000	-1715273.2500000
-4.3120000000000	-1722198.1250000
-4.3040000000000	-1729122.6250000
-4.2960000000000	-1736047.1250000
-4.2880000000000	-1742971.6250000
-4.2800000000000	-1749896.0000000
-4.2720000000000	-1756821.0000000
-4.2640000000000	-1763745.5000000
-4.2560000000000	-1770669.8750000
-4.2480000000000	-1777594.3750000
-4.2400000000000	-1784519.2500000
-4.2320000000000	-1791443.7500000
-4.2240000000000	-1798368.2500000
-4.2160000000000	-1805292.7500000
-4.2080000000000	-1812217.2500000
-4.2000000000000	-1819142.1250000
-4.1920000000000	-1826066.6250000
-4.1840000000000	-1832991.1250000
-4.1760000000000	-1839915.5000000
-4.1680000000000	-1846840.0000000
-4.1600000000000	-1853765.0000000
-4.1520000000000	-1860689.5000000
-4.1440000000000	-1867613.8750000
-4.1360000000000	-1874538.3750000
-4.1280000000000	-1881463.2500000
-4.1200000000000	-1888387.7500000
-4.1120000000000	-1895312.2500000
-4.1040000000000	-1902558.3750000
-4.0960000000000	-1910987.3750000
-4.0880000000000	-1919417.0000000
-4.0800000000000	-1927846.0000000
-4.0720000000000	-1936275.0000000
-4.0640000000000	-1944704.0000000
-4.0560000000000	-1953133.0000000
-4.0480000000000	-1961562.5000000
-4.0400000000000	-1969991.5000000
-4.0320000000000	-1978420.5000000
-4.0240000000000	-1986849.5000000
