x[cm]	x'[mrad]            y[cm]           y'[mrad]		
-0.03881	0.036381	-0.05485	0.0089697
-0.05732	-0.028913	-0.03095	0.039828
-0.06705	0.017915	0.11253	0.017434
-0.08374	0.014096	-0.11978	-0.01476
0.09155	0.0048744	0.02633	0.016938
-0.01953	-0.030787	-0.00762	0.033406
0.09147	0.0072452	0.02736	0.035497
-0.106	0.025773	-0.02473	0.010654
0.05846	-0.042706	0.02797	-0.0065757
-0.09005	0.0036545	-0.0491	-0.031736
-0.07537	0.02752	-0.07848	-0.020301
-0.02706	-0.03144	0.10602	-0.017833
-0.08975	0.021093	0.05664	-0.019242
0.04656	-0.042063	0.05626	-0.008832
-0.06175	-0.023931	0.08503	-0.012513
0.14435	-0.016621	0.018	0.018752
-0.04686	0.019224	-0.00649	0.023829
-0.00515	-0.033138	-0.02181	0.033411
-0.09072	-0.030093	-0.0804	-0.013539
0.04448	0.0047131	-0.09664	-0.039165
0.13692	-0.011066	0.00541	0.023664
0.04555	-0.05062	0.00699	-0.010168
0.02453	-0.029469	-0.01363	-0.02019
0.07903	0.033516	0.07114	0.0057806
0.03734	-0.030222	0.06693	0.0031324
-0.13362	-0.0022714	0.00244	0.004173
0.00059403	-0.01098	-0.03598	-0.026698
-0.08773	-0.0026466	0.11435	-0.0042846
-0.03266	-0.018128	-0.14862	0.010684
0.07943	0.030025	-0.01325	0.0032587
-0.06453	-0.029019	-0.03576	0.0028669
-0.07813	0.037348	-0.05539	-0.011112
0.0317	-0.013913	-0.00928	-0.039064
0.05659	0.044964	-0.00951	0.01903
-0.07822	-0.0038825	-0.09575	0.026991
0.06814	0.0014292	-0.06101	-0.015292
-0.05565	-0.02118	-0.10788	-0.028678
-0.13692	0.01933	0.00479	-0.0032632
-0.13102	0.010875	0.05403	-0.0152
-0.00663	0.025712	-0.09554	0.0017848
0.09341	-0.010988	-0.11272	0.0048561
-0.04463	-0.041834	-0.10054	0.00089588
-0.09967	-0.0025844	-0.08819	0.003875
0.01696	-0.0087173	-0.12621	-0.0077756
0.06045	-0.010298	-0.0121	-0.0038394
-0.05173	0.011555	-0.01111	-0.0032292
0.06455	0.027501	-0.06193	-0.0096832
0.11948	0.006112	-0.01285	0.0072078
-0.0773	0.029911	-0.08246	0.011367
0.07954	-0.043195	0.05185	-0.014947
-0.09786	0.0053437	-0.018	0.015841
-0.03221	-0.013008	-0.08359	-0.042332
-0.00026515	-0.038595	-0.07233	0.031781
0.09502	-0.027303	0.00111	-0.022273
-0.01387	-0.030754	-0.05605	-0.022933
-0.11879	-0.021349	0.06407	-0.0022567
0.01175	0.024515	-0.01004	-0.043505
0.09802	-0.0036246	-0.11237	-0.016823
0.05592	-0.007097	0.09875	-0.029765
-0.02871	-0.0077391	0.11016	-0.0063014
0.04115	0.02224	0.14298	-0.0064632
-0.05285	-0.018424	-0.08072	0.0057787
0.01569	-0.015112	-0.00778	0.039456
-0.0071	-0.035171	-0.04524	-0.01041
0.01812	-0.0093129	-0.10745	0.029433
-0.13199	0.0085282	-0.05532	0.02616
-0.00347	0.044181	-0.08948	-0.0031781
0.0254	-0.030574	0.03787	0.021027
-0.10954	0.002702	0.00693	-0.023066
0.0416	0.0049408	0.03452	-0.033856
0.02586	-0.022483	-0.0494	0.036365
-0.03362	-0.011904	0.13539	-0.019232
0.08189	0.015656	0.04107	0.03638
0.00769	-0.012811	0.12296	0.013064
-0.11898	0.00002794	0.07333	0.021191
0.13603	0.0025706	0.06236	0.0024057
0.12035	-0.0044439	-0.02312	0.013061
0.06699	-0.01897	0.1021	0.019278
-0.00556	-0.0035899	-0.03356	-0.023815
0.0476	-0.025188	0.11626	0.018554
0.01604	0.0295	-0.09957	0.027609
-0.04798	-0.027284	-0.05257	-0.035165
0.06454	-0.046588	-0.04409	-0.010872
-0.03238	0.015018	-0.07241	0.036126
-0.09846	-0.012589	-0.00473	-0.0052816
-0.10769	0.01225	-0.05113	0.027138
-0.12975	-0.011385	-0.0868	0.0051626
-0.05457	0.0062438	-0.04462	0.0046868
0.09808	-0.022435	0.05672	0.020481
-0.02142	-0.03399	0.06182	0.00055259
-0.06882	-0.0041733	-0.0654	-0.017064
0.0325	0.0028888	0.07931	0.0181
-0.01723	-0.035706	0.036	-0.0024488
0.00639	-0.014278	-0.04861	0.0046989
-0.01151	-0.014391	-0.03656	-0.021286
-0.00923	0.034191	0.0389	-0.016937
-0.03776	0.052031	0.01706	-0.01064
-0.09752	0.030085	0.01041	0.018616
0.07338	-0.020785	0.08969	-0.022908
0.12329	-0.0076094	-0.02473	0.0050083
0.02236	0.031231	0.03748	0.038661
-0.07544	0.043773	0.02865	0.0073868
-0.00325	0.018488	-0.07319	-0.0067193
-0.08304	0.018445	0.09693	-0.0064631
0.01523	-0.025052	-0.00556	0.0074125
-0.03306	-0.0067331	0.08347	-0.030524
-0.07691	-0.015121	-0.13533	0.0019215
-0.11833	-0.033588	-0.00999	0.0049994
-0.00725	-0.010451	-0.05962	-0.021855
-0.10579	0.020427	-0.10102	0.00047084
0.08911	0.020053	0.03091	-0.025513
0.02946	0.0011857	0.01906	-0.043734
-0.04488	-0.00064661	0.11924	0.0082435
-0.13615	-0.0080575	0.08626	-0.0098101
-0.10044	0.040522	0.03048	-0.00092624
-0.00409	0.038647	-0.00959	0.039331
0.05151	0.0090015	0.10222	0.02852
0.08618	0.015133	0.04723	0.030424
-0.03728	-0.035349	0.02412	-0.015476
0.11002	-0.0073056	-0.06828	-0.014744
0.0366	0.018722	0.03336	0.0011918
-0.00326	0.003771	0.15021	-0.0013679
-0.11183	0.0024846	0.0633	0.029956
0.04548	0.032865	-0.01522	-0.022415
0.08683	-0.0092403	-0.12041	-0.016033
-0.00841	-0.035195	0.0666	0.017239
-0.00077209	0.015152	0.03688	0.049936
0.01981	0.033073	0.08743	0.010985
0.02257	0.0079065	-0.01876	-0.048747
0.02155	-0.0030902	0.11984	0.011075
0.01879	-0.03734	0.11783	0.0046251
0.02596	-0.03884	-0.04808	0.01333
0.01257	-0.01112	-0.08429	0.039578
0.04039	-0.01602	-0.06123	-0.026213
0.11773	-0.0035491	0.01871	-0.0072607
-0.11296	-0.00028401	0.03748	-0.02828
0.14149	-0.0078999	0.01653	0.0091837
-0.13404	0.016967	0.03034	0.019892
-0.09973	0.0037618	0.01845	-0.028594
0.0511	-0.0026023	0.01042	-0.035634
-0.0445	0.0029307	-0.14835	-0.018947
-0.0385	-0.01289	0.14699	-0.014059
0.08682	0.010134	0.10853	0.007868
-0.03752	-0.040641	-0.04945	-0.023839
0.05315	0.031164	0.01455	0.036197
0.05428	0.03913	-0.04162	-0.023393
-0.09175	-0.037171	-0.04893	0.018893
0.05018	-0.035224	-0.03014	0.012173
-0.02632	0.01327	-0.04771	-0.04895
-0.0508	0.011614	-0.07049	-0.032663
0.00155	0.02978	0.0195	-0.041805
-0.04756	-0.0030326	0.01541	-0.038984
0.03055	-0.032894	-0.08823	-0.017732
-0.03294	0.016838	-0.11322	-0.0095311
0.05133	-0.0053235	0.03469	0.020703
-0.02535	-0.018654	0.0312	0.045454
-0.15424	0.0031912	-0.03316	-0.006782
-0.02607	-0.029901	-0.1044	-0.0021304
0.0643	-0.024415	0.05531	-0.020191
-0.0158	-0.013443	-0.02305	-0.01758
-0.15971	-0.01184	0.00205	0.0023537
0.05085	-0.016693	0.04931	0.026193
-0.03959	0.011433	0.13583	0.011669
-0.02172	-0.015898	0.09846	0.0037623
0.03244	0.011002	0.10536	0.026544
0.03631	-0.038515	-0.02303	0.00063681
0.12528	-0.0085613	0.05733	-0.011469
