 Nseed      iq         dt[nsec]           dW[MeV]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.35317E-02      -0.24791E-07      -0.34335E-01      -0.30708E+02      -0.74285E-01      -0.25833E+02
      0      1       0.25161E-01       0.11042E-07      -0.42725E-01       0.46277E+02       0.45672E-01      -0.75673E+01
      0      1       0.20713E-01      -0.10591E-07      -0.68326E-01      -0.31183E+02       0.61165E-01      -0.23852E+02
      0      1      -0.14488E-01      -0.15934E-07      -0.97740E-01       0.20212E+02       0.54416E-01       0.87005E+01
      0      1      -0.13159E-01       0.16927E-07      -0.11030E+00       0.80803E+01       0.63194E-01      -0.77091E+01
      0      1       0.13450E-01      -0.46133E-09       0.42655E-02      -0.32687E+02      -0.19352E-01      -0.12985E+02
      0      1      -0.24514E-01       0.18065E-07      -0.72517E-01      -0.24701E+02      -0.32129E-01      -0.30119E+02
      0      1      -0.41329E-01       0.15173E-07      -0.60406E-01       0.46203E+02      -0.68539E-02       0.39434E+00
      0      1      -0.26993E-01      -0.10569E-07      -0.67841E-01       0.15443E+02      -0.57490E-04       0.11819E+02
      0      1       0.23159E-01       0.70884E-08      -0.24793E-01       0.16490E+01       0.41458E-02      -0.35328E+02
      0      1       0.37608E-01       0.25217E-07      -0.33494E-01       0.35165E+01       0.57775E-02      -0.20387E+02
      0      1       0.26959E-01      -0.82072E-08      -0.80320E-01       0.31595E+00      -0.96690E-01       0.25581E+01
      0      1       0.80853E-02       0.23111E-07      -0.25089E-01       0.13250E+02      -0.32542E-01      -0.66150E+01
      0      1       0.19515E-01      -0.16878E-08      -0.12257E-01       0.51738E+01       0.94639E-01      -0.29494E+02
      0      1      -0.26260E-01       0.16356E-07      -0.13504E-01       0.27892E+02      -0.42773E-01      -0.45315E+01
      0      1      -0.39969E-01      -0.10087E-07      -0.94226E-01       0.54623E+01      -0.49710E-01      -0.22836E+02
      0      1       0.12059E-01      -0.22958E-08      -0.83439E-02       0.40363E+00      -0.16452E-01      -0.14992E+02
      0      1       0.36839E-01       0.22409E-07       0.51189E-01      -0.41066E+02      -0.87592E-01      -0.38514E+01
      0      1       0.30614E-01       0.13402E-08       0.36196E-01      -0.65530E+01       0.14983E+00      -0.85470E+01
      0      1      -0.21125E-01      -0.16467E-07      -0.23464E-02      -0.11837E+02      -0.13787E+00       0.22560E+02
      0      1       0.37048E-01      -0.11872E-07      -0.91645E-01      -0.46559E+01      -0.27854E-01      -0.50103E+01
      0      1      -0.91736E-02       0.13653E-08       0.12793E-01      -0.32571E+01       0.52790E-01       0.29296E+02
      0      1      -0.44865E-01       0.23969E-08       0.35193E-02       0.16690E+02       0.11596E+00       0.17512E+02
      0      1       0.41121E-01       0.22802E-07       0.66969E-01      -0.78991E+01       0.57850E-01      -0.46723E+01
      0      1      -0.24594E-01      -0.14371E-07      -0.80741E-01      -0.22529E+02      -0.19919E-01       0.40056E+02
      0      1      -0.47701E-03      -0.24115E-07       0.98286E-02      -0.29620E+02       0.61986E-01       0.12456E+02
      0      1      -0.11992E-01       0.17674E-07      -0.27726E-02       0.48765E+02      -0.34646E-01       0.66147E+01
      0      1       0.15175E-01       0.18310E-07      -0.18258E-01      -0.20421E+01      -0.12720E+00       0.21940E+02
      0      1       0.20020E-01      -0.20961E-07       0.15795E-01       0.91238E+01      -0.75749E-01       0.12372E+02
      0      1      -0.31818E-01       0.12515E-07      -0.75249E-01       0.28390E+02       0.56623E-01       0.19579E+02
      0      1      -0.22117E-01      -0.11406E-07       0.36888E-01      -0.22206E+02      -0.91132E-01      -0.23557E+02
      0      1      -0.13644E-02      -0.84943E-08       0.44797E-01      -0.11650E+02      -0.62536E-01       0.23403E+02
      0      1       0.42591E-01       0.91140E-09      -0.48230E-01       0.33640E+02      -0.38735E-01       0.28432E+02
      0      1      -0.20727E-01      -0.13492E-07      -0.91307E-01      -0.35443E+01      -0.74764E-01      -0.36245E+02
      0      1      -0.45397E-01      -0.24154E-07      -0.19393E-01      -0.16416E+02       0.21292E-01      -0.28472E+02
      0      1      -0.44116E-01       0.18324E-07      -0.52950E-01      -0.32441E+02       0.54475E-01       0.63342E+01
      0      1       0.21121E-02       0.13166E-07       0.11018E+00       0.20005E+01       0.33121E-01       0.20151E+02
      0      1      -0.21576E-01       0.43659E-08       0.78028E-01      -0.39649E+02      -0.82128E-01      -0.39889E+00
